epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,4074.73,1.29511,1.17751,1.46222,0.67092,0.70153,0.74717,0.39284,1.55077,1.26869,1.73376,0.0086635,0.0086635,0.0086635
137,4104.91,1.27286,1.19863,1.46052,0.72613,0.62953,0.72997,0.39783,1.53836,1.27024,1.75383,0.0086536,0.0086536,0.0086536
138,4135.45,1.28708,1.19706,1.46002,0.70887,0.66342,0.73032,0.3905,1.5492,1.25695,1.75864,0.0086437,0.0086437,0.0086437
139,4165.08,1.27084,1.20081,1.46116,0.72411,0.62826,0.73097,0.39103,1.54501,1.25432,1.75768,0.0086338,0.0086338,0.0086338
140,4195.17,1.26947,1.20378,1.46466,0.70161,0.66418,0.72935,0.37903,1.61452,1.31239,1.77663,0.0086239,0.0086239,0.0086239
141,4224.16,1.26529,1.20015,1.45363,0.74722,0.68394,0.76951,0.40824,1.55882,1.22631,1.72989,0.008614,0.008614,0.008614
142,4253.82,1.28522,1.20033,1.45179,0.7215,0.67487,0.76663,0.41512,1.51977,1.19619,1.73577,0.0086041,0.0086041,0.0086041
143,4284.33,1.27471,1.18592,1.45116,0.67636,0.66413,0.72568,0.38193,1.5736,1.27049,1.76025,0.0085942,0.0085942,0.0085942
144,4314.86,1.27204,1.16497,1.4459,0.70102,0.66381,0.74291,0.39518,1.5322,1.26703,1.73615,0.0085843,0.0085843,0.0085843
145,4345.1,1.26339,1.15881,1.43715,0.7076,0.67096,0.75957,0.40159,1.54889,1.24437,1.73575,0.0085744,0.0085744,0.0085744
146,4376.31,1.2667,1.1801,1.44675,0.70158,0.66728,0.75104,0.39531,1.55778,1.25669,1.75717,0.0085645,0.0085645,0.0085645
147,4405.77,1.27247,1.17057,1.45666,0.68851,0.68364,0.75149,0.4017,1.54034,1.22276,1.74785,0.0085546,0.0085546,0.0085546
148,4435.18,1.26992,1.16771,1.44304,0.65212,0.66741,0.73157,0.38551,1.54228,1.26654,1.74926,0.0085447,0.0085447,0.0085447
149,4464.25,1.26399,1.16842,1.44098,0.68735,0.66312,0.74385,0.39842,1.52851,1.21984,1.71963,0.0085348,0.0085348,0.0085348
150,4493.5,1.27459,1.14788,1.43883,0.68189,0.6849,0.73087,0.38606,1.56239,1.24875,1.75941,0.0085249,0.0085249,0.0085249
151,4524.18,1.26963,1.16676,1.45233,0.71229,0.64807,0.73682,0.39108,1.56743,1.26208,1.78085,0.008515,0.008515,0.008515
152,4554.58,1.26722,1.17302,1.45401,0.69339,0.67396,0.74436,0.39928,1.55884,1.2387,1.74119,0.0085051,0.0085051,0.0085051
153,4584.75,1.2602,1.15469,1.43493,0.68767,0.68373,0.73924,0.40309,1.53464,1.21856,1.73444,0.0084952,0.0084952,0.0084952
154,4615.49,1.26963,1.14911,1.4416,0.69177,0.68131,0.74474,0.40074,1.55424,1.21651,1.76197,0.0084853,0.0084853,0.0084853
155,4644.58,1.24922,1.13644,1.42418,0.7424,0.63805,0.74021,0.39928,1.55144,1.21479,1.75186,0.0084754,0.0084754,0.0084754
156,4673.72,1.28014,1.17357,1.46393,0.67567,0.68989,0.73995,0.40352,1.52176,1.23995,1.71913,0.0084655,0.0084655,0.0084655
157,4702.81,1.24823,1.13993,1.43407,0.77415,0.64711,0.74521,0.40069,1.574,1.2208,1.76203,0.0084556,0.0084556,0.0084556
158,4732.13,1.26827,1.17259,1.44495,0.66452,0.68717,0.74612,0.39574,1.56566,1.21212,1.7696,0.0084457,0.0084457,0.0084457
159,4762.81,1.25405,1.14966,1.43386,0.69858,0.69402,0.75501,0.40537,1.55468,1.19536,1.74877,0.0084358,0.0084358,0.0084358
160,4793.27,1.26945,1.14122,1.44318,0.69825,0.64357,0.74427,0.38159,1.62065,1.23039,1.78119,0.0084259,0.0084259,0.0084259
161,4823.14,1.26116,1.14325,1.43605,0.67907,0.65229,0.70795,0.36707,1.62527,1.35473,1.81854,0.008416,0.008416,0.008416
162,4853.5,1.24703,1.14464,1.4258,0.7081,0.68603,0.75387,0.40103,1.5675,1.21751,1.75099,0.0084061,0.0084061,0.0084061
163,4883.72,1.25159,1.12649,1.42797,0.69013,0.63809,0.71872,0.37509,1.6209,1.28339,1.81113,0.0083962,0.0083962,0.0083962
164,4913.1,1.26299,1.13869,1.43821,0.70424,0.6793,0.74919,0.41112,1.52154,1.21222,1.72247,0.0083863,0.0083863,0.0083863
165,4942.14,1.24831,1.14446,1.43632,0.67483,0.68015,0.74342,0.39451,1.58451,1.26164,1.78376,0.0083764,0.0083764,0.0083764
166,4971.23,1.25477,1.13204,1.44127,0.67416,0.68701,0.74157,0.40046,1.53537,1.23181,1.74085,0.0083665,0.0083665,0.0083665
167,5002.45,1.24236,1.12794,1.43146,0.74912,0.64679,0.74879,0.4013,1.56434,1.20622,1.76466,0.0083566,0.0083566,0.0083566
168,5033,1.27788,1.1375,1.45028,0.67111,0.67398,0.73078,0.39482,1.5654,1.24494,1.77165,0.0083467,0.0083467,0.0083467
169,5062.75,1.25795,1.12234,1.43489,0.73638,0.66752,0.76767,0.41266,1.53333,1.19701,1.74032,0.0083368,0.0083368,0.0083368
170,5093.47,1.26542,1.12709,1.43241,0.71443,0.65389,0.7399,0.39028,1.55346,1.21752,1.75765,0.0083269,0.0083269,0.0083269
171,5123.45,1.24765,1.10207,1.42527,0.7041,0.65522,0.73975,0.39173,1.57114,1.21738,1.77811,0.008317,0.008317,0.008317
172,5152.88,1.25446,1.15341,1.42893,0.71342,0.66504,0.74482,0.40168,1.51868,1.20253,1.73386,0.0083071,0.0083071,0.0083071
173,5182.11,1.2414,1.12655,1.42445,0.76396,0.61297,0.72906,0.39,1.53569,1.24799,1.76056,0.0082972,0.0082972,0.0082972
